ticker,horizon,ew_alpha,ew_beta,ew_beta_raw,ew_r2,n,beta_capped
UPS,21,0.13515547001149264,0.35164751474082834,0.351648,0.05918901692181877,2953,False
UPS,63,0.18549950372336443,0.1360369511971654,0.136037,0.005776511655477767,2953,False
UPS,126,0.154359020682324,0.3229813367672313,0.322981,0.059460993856874644,2953,False
USB,21,0.11715380231660451,0.4818388244083036,0.481839,0.09891122727279422,2953,False
USB,63,0.11230476901722534,0.5107092071463598,0.510709,0.0909925425133945,2953,False
USB,126,0.11574201156981886,0.5098470267161499,0.509847,0.10547664077620311,2953,False
WFC,21,0.16890952906611512,0.30575549790171785,0.305755,0.034641807999577945,2953,False
WFC,63,0.21413886076300176,0.1351985856416484,0.135199,0.00845531055278581,2953,False
WFC,126,0.12986081636952979,0.49019560185009664,0.490196,0.11039691941206309,2953,False
WMT,21,0.0780681449339245,0.5848470431590573,0.584847,0.10963271541989517,2953,False
WMT,63,0.1855485431336927,-0.02883415777514124,-0.028834,0.00023577527069540416,2953,False
WMT,126,-0.04117349391492589,1.3070783486747932,1.307078,0.2983092193532133,2953,False
XOM,21,0.11367773012630994,0.4516844151382059,0.451684,0.10218050324052463,2953,False
XOM,63,0.10521656195658183,0.48509488249587673,0.485095,0.13050756207416558,2953,False
XOM,126,0.05598767214473835,0.7321638634732031,0.732164,0.20389719866196498,2953,False
