ticker,horizon,bucket,n,rmse,qlike,mean_y_true,mean_y_pred,mean_bias
CL,63,bottom_10,283,0.020107358193587117,0.011348382899757727,0.11303199684552463,0.12926088119204107,0.016228884346516478
CL,63,middle_80,2263,0.018914534152965012,0.007160657430439416,0.14911879225179633,0.14715578103627122,-0.00196301121552514
CL,63,top_10,283,0.13993846112413227,0.21348412918857002,0.2875069427325008,0.17583145504940487,-0.11167548768309594
CL,126,bottom_10,283,0.02319891932687111,0.013115954275514038,0.11824661111874017,0.13359257370957975,0.015345962590839604
CL,126,middle_80,2263,0.01572820144648709,0.005086812268853716,0.1529608490700878,0.1501946603419511,-0.0027661887281367316
CL,126,top_10,283,0.11585483868448083,0.16704499882578436,0.2819511217243464,0.1745682549640528,-0.1073828667602936
CMCSA,21,bottom_10,252,0.03475372335265653,0.025505658393701492,0.1304565421757184,0.15978743609162965,0.02933089391591122
CMCSA,21,middle_80,2012,0.03040409625494649,0.011510233779226824,0.2045019799668789,0.19797412102847556,-0.006527858938403304
CMCSA,21,top_10,252,0.17707363353188132,0.1592577566850308,0.35897979975829625,0.23813225872344132,-0.1208475410348549
CMCSA,63,bottom_10,252,0.02818218003184647,0.016100451469505384,0.14637709174156582,0.16237670698414805,0.015999615242582244
CMCSA,63,middle_80,2012,0.027558647612598245,0.0088452466785621,0.21049516708025523,0.20031710237536124,-0.010178064704893977
CMCSA,63,top_10,252,0.15727670085953843,0.15698645061501895,0.3430637726091034,0.22990400874474098,-0.11315976386436245
CMCSA,126,bottom_10,252,0.027466136529717307,0.01191649267926569,0.15038700432865912,0.16806505032344984,0.017678045994790732
CMCSA,126,middle_80,2012,0.022188122154006704,0.005732807614058417,0.2144499518995875,0.204562355388648,-0.009887596510939439
CMCSA,126,top_10,252,0.13614963628914184,0.14049695553367827,0.33544588135477266,0.22217857537005242,-0.11326730598472026
COP,21,bottom_10,252,0.031047322668233804,0.013682993230135946,0.1646528760167591,0.1829325623341742,0.01827968631741508
COP,21,middle_80,2012,0.05120790494121282,0.01973657640639889,0.26264553976143784,0.25182555617459557,-0.010819983586842228
COP,21,top_10,252,0.26100151843328506,0.17202869054791642,0.5465268110354617,0.39725615758185107,-0.14927065345361065
COP,63,bottom_10,252,0.029694965084382744,0.010715708211053042,0.18005926715362067,0.19860644951007514,0.01854718235645443
COP,63,middle_80,2012,0.047488164557393395,0.01648984895765406,0.2682950083978192,0.2542415790967784,-0.014053429301040777
COP,63,top_10,252,0.28187948690469233,0.27231742737195763,0.5441911987855598,0.33990886602699827,-0.20428233275856142
COP,126,bottom_10,252,0.029280274373090456,0.009296702888767423,0.1892829962672387,0.214521192846463,0.02523819657922432
COP,126,middle_80,2012,0.04305035195483784,0.014830159932528857,0.27484565193107857,0.25908112035515957,-0.015764531575918967
COP,126,top_10,252,0.24297417525892054,0.23269842540670535,0.5282147540121729,0.3213408924025991,-0.20687386160957372
COST,21,bottom_10,252,0.02822672990507469,0.02316963435791406,0.10345432861795277,0.12619610068834303,0.022741772070390243
COST,21,middle_80,2012,0.027846098845190487,0.015510523501826183,0.16032772992844718,0.15378276076478015,-0.006544969163666984
COST,21,top_10,252,0.13509234185461835,0.16309433652843852,0.311671544647393,0.21958758758625774,-0.09208395706113531
COST,63,bottom_10,252,0.02876636804023176,0.019305942416166347,0.11484557245908292,0.1340533766825717,0.019207804223488795
COST,63,middle_80,2012,0.027565843424986657,0.013634788497588203,0.16661388426408907,0.15852222185586468,-0.008091662408224396
